"[[43.207250000000045, -71.53659999999996]]"
"[[36.16193000000004, -85.49979999999994]]"
"[[43.36797000000007, -124.21965999999998]]"
"[[42.143260000000055, -77.05455999999998]]"
"[[27.796410000000037, -97.40373999999997]]"
"[[44.565030000000036, -123.26350999999994]]"
"[[30.76183000000003, -86.57101999999998], [30.404240000000073, -86.61529999999999], [30.393290000000036, -86.49565999999999]]"
"[[34.17437000000007, -86.84344999999996]]"
"[[39.651770000000056, -78.76332999999994]]"
"[[32.77822000000003, -96.79511999999994], [32.750950000000046, -97.33085999999997], [32.735600000000034, -97.10771999999997]]"
"[[34.761450000000025, -84.97217999999998]]"
"[[40.159800000000075, -87.63043999999996]]"
"[[36.58598000000006, -79.41719999999998]]"
"[[30.60391000000004, -87.90091999999999], [30.537680000000023, -87.88629999999995], [30.406070000000057, -87.68379999999996]]"
"[[41.53826000000004, -90.57601999999997], [41.66273214735109, -95.84728828734086], [41.59361460559286, -93.552048]]"
"[[39.75920000000008, -84.19380999999998]]"
"[[34.60740000000004, -86.97978999999998]]"
"[[39.84585000000004, -88.95208999999994]]"
"[[28.93223000000006, -81.22334999999998], [29.20357000000007, -81.03939999999994], [29.28558000000004, -81.05554999999998]]"
"[[39.74001000000004, -104.99201999999997], [39.70932000000005, -104.81457999999998], [39.710920000000044, -105.08206999999999]]"
"[[41.58981000000006, -93.61537999999996], [41.56770000000006, -93.75693999999999]]"
"[[42.33168000000006, -83.04799999999994], [42.47754000000003, -83.02769999999998], [42.32207000000005, -83.17628999999994]]"
"[[31.223250000000064, -85.39336999999995]]"
"[[39.15803000000005, -75.52472999999998]]"
"[[41.119770000000074, -78.75973999999997]]"
"[[42.49913000000004, -90.66326999999995]]"
"[[46.787960000000055, -92.09984999999995]]"
"[[35.306710000000066, -78.60867999999994]]"
"[[35.995420000000024, -78.89643999999998], [35.91489000000007, -79.05676999999997]]"
"[[40.99455000000006, -75.17805999999996]]"
"[[44.816580000000044, -91.50076999999999]]"
"[[32.79616000000004, -115.56996999999996]]"
"[[31.759160000000065, -106.48748999999998]]"
"[[36.30150000000003, -76.21975999999995]]"
"[[37.693670000000054, -85.85911999999996], [37.88175000000007, -85.96241999999995]]"
"[[41.68676000000005, -85.97566999999998], [41.589180000000056, -85.83694999999994]]"
"[[42.09041000000008, -76.79880999999995]]"
"[[36.397620000000074, -97.87833999999998]]"
"[[42.12982000000005, -80.08549999999997]]"
"[[44.04992000000004, -123.08853999999997]]"
"[[40.803270000000055, -124.15952999999996], [40.86766000000006, -124.08505999999994], [40.597560000000044, -124.15553999999997]]"
"[[37.97708000000006, -87.56404999999995]]"
"[[64.84525000000008, -147.72209999999998]]"
"[[46.87591000000003, -96.78175999999996]]"
"[[44.29508000000004, -93.27149999999995], [44.44960000000003, -93.15375999999998]]"
"[[37.780430000000024, -90.42046999999997]]"
"[[36.72814000000005, -108.20568999999995]]"
"[[35.05534000000006, -78.87726999999995]]"
"[[36.06320000000005, -94.15790999999996], [36.188360000000046, -94.13020999999998], [36.33349000000004, -94.12493999999998]]"
"[[41.037600000000054, -83.65029999999996]]"
"[[35.19820000000004, -111.65129999999999]]"
"[[43.01144000000005, -83.68678999999997]]"
"[[34.193670000000054, -79.76818999999995]]"
"[[34.80060000000003, -87.67488999999995], [34.74243000000007, -87.66770999999994]]"
"[[43.77302000000003, -88.44708999999995]]"
"[[35.33381000000003, -81.86487999999997]]"
"[[40.581470000000024, -105.07661999999999]]"
"[[34.441310000000044, -85.71436999999997]]"
"[[35.38468000000006, -94.42141999999996]]"
"[[41.08026000000007, -85.13830999999999]]"
"[[38.195070000000044, -84.87868999999995]]"
"[[36.74084000000005, -119.78551999999996]]"
"[[34.014770000000055, -86.00716999999997]]"
"[[29.651950000000056, -82.32277999999997]]"
"[[34.29738000000003, -83.82530999999994]]"
"[[35.527840000000026, -108.74355999999995]]"
"[[39.830250000000035, -77.23111999999998]]"
"[[43.31122000000005, -73.64375999999999]]"
"[[39.54603000000003, -107.32369999999997]]"
"[[35.38596000000007, -77.99684999999994]]"
"[[47.924330000000054, -97.03172999999998]]"
"[[40.92474000000004, -98.33989999999994]]"
"[[39.068790000000035, -108.56444999999997]]"
"[[42.96642000000003, -85.67194999999998], [42.91340000000008, -85.69499999999994]]"
"[[42.44322000000005, -123.32462999999996]]"
"[[47.50732000000005, -111.30606999999998]]"
"[[40.42327000000006, -104.69445999999999]]"
"[[44.513000000000034, -88.01000999999997]]"
"[[36.16292000000004, -82.83103999999997]]"
"[[42.587690000000066, -72.60086999999999]]"
"[[36.06908000000004, -79.79502999999994], [35.95536000000004, -80.00519999999995]]"
"[[35.61215000000004, -77.38075999999995]]"
"[[34.84827000000007, -82.40010999999998], [34.50061000000005, -82.64961999999997], [34.77875000000006, -82.30909999999994]]"
"[[34.191040000000044, -82.16073999999998]]"
"[[17.985200000000077, -66.11314999999996]]"
"[[30.38032000000004, -89.09188999999998], [30.39438000000007, -88.89638999999994], [30.36560000000003, -88.55647999999997]]"
"[[39.64250000000004, -77.71757999999994], [39.164630000000045, -77.47769999999997]]"
"[[30.504170000000045, -90.45845999999995]]"
"[[36.327170000000024, -119.64582999999999], [36.09805000000006, -119.55904999999996]]"
"[[40.25986000000006, -76.88222999999994], [40.20129000000003, -77.18914999999998]]"
"[[38.45163000000008, -78.86969999999997]]"
"[[41.76375000000007, -72.67393999999996], [41.75877000000003, -72.74442999999997], [41.769060000000025, -72.64395999999994]]"
"[[31.327350000000024, -89.29070999999999]]"
"[[46.58976000000007, -112.02064999999999]]"
"[[45.84051000000005, -119.28947], [45.671790000000044, -118.78639999999996]]"
"[[35.73491000000007, -81.33559999999994], [35.91575000000006, -81.54045999999994], [35.74700000000007, -81.68617999999998]]"
"[[19.71924000000007, -155.08184999999997]]"
"[[32.15510000000006, -80.76252999999997], [32.23721000000006, -80.86132999999995], [32.43119000000007, -80.66992999999997]]"
"[[31.851140000000044, -81.58365999999995]]"
"[[32.696570000000065, -103.12852999999996]]"
"[[42.773090000000025, -86.10175999999996]]"
"[[28.805630000000065, -82.57541999999995]]"
"[[34.509600000000034, -93.05176999999998]]"
"[[29.597330000000056, -90.71912999999995], [29.795520000000067, -90.82252999999997]]"
