geographic area name,state,metro-micro,id,population_16_up,unemployment_rate,commute_own_transport_alone,commute_carpool,commute_public,commute_walk,commute_other,commute_WFH,mean_minutes_to_work,household_income_less_10k,household_income_10k-15k,household_income_15k-25k,household_income_25k-35k,household_income_35k-50k,household_income_50k-75k,household_income_75k-100k,household_income_100k-150k,household_income_150k-200k,household_income_over_200k,median_household_income,mean-median,percent_households_receiving_SS,percent_households_receiving_retirement,mean_retirement_income,percent_private_health_ins,percent_public_health_ins,percent_no_health_ins,percent_in_poverty_last_12_months
Columbia,SC,Metro,310M400US17900,671888,6.3,80.5,8.9,0.8,4.1,1.8,3.9,25.1,8.1,4.2,8.9,11.2,14.1,19.5,12.7,12.3,5.1,3.8,53765,17612,31.6,20.3,23341,69,35.3,9.8,11.1
Columbia,MO,Metro,310M400US17860,147029,4.6,76.9,12.4,1,3.7,1.8,4.2,17.8,6.3,4.5,9.2,12.6,12.9,19.4,10.7,15.2,4.1,5.2,54356,20488,24.1,16.3,25112,79.9,23.7,7.3,8
Columbus,IN,Metro,310M400US18020,65756,3.6,81,11.9,0.2,1.7,0.5,4.7,18.7,4.4,5.6,6.8,10,12.2,21.8,14.9,14.3,5.9,4,62047,12867,33.6,19.7,16741,73.5,32.5,7.3,7.7
Columbus,GA-AL,Metro,310M400US17980,240490,8,80,10.1,0.8,3.9,2.2,2.9,21.8,11.8,5.7,10.1,10,12.4,20,12.4,11.2,3.4,2.8,49731,13171,33.1,22.8,22667,65.8,40.1,11.4,14.4
Columbus,OH,Metro,310M400US18140,1666326,4.2,81.3,8.2,1.7,2.2,1.1,5.5,23.8,5.6,3.5,8,8.8,12.8,18.4,13.5,16.1,6.7,6.5,64052,21903,26,17.9,28806,69.9,32.9,7.1,8.4
Concord,NH,Micro,310M400US18180,125929,3.9,82.1,7.2,0.3,2.5,1,7,26.7,3.8,3.3,8.1,7,12.2,15.4,15.9,19.3,7.5,7.5,75088,17735,36.6,20.1,33285,75.3,32.8,5.7,3.7
Cookeville,TN,Micro,310M400US18260,91247,5.4,83.2,10,0,1.7,0.9,4.2,23,6.2,6.5,13.7,13.5,14.6,19.1,8.7,13.4,2.4,1.8,45179,14269,39.5,19.7,18284,68.6,39.3,7.6,7.8
Coos Bay,OR,Micro,310M400US18300,54529,3.7,75.2,10.1,0,3.9,4.8,6.1,21.6,3.7,6.5,10.4,13.6,15.3,24.5,9.2,10,3.9,2.9,50323,16201,48.8,34.5,23244,55.2,59.3,7.1,8.3
Corning,NY,Micro,310M400US18500,78099,6.1,84.9,8.2,0,2.3,1.9,2.7,23,6,5.6,12.7,8.4,12.5,20.7,13,13.3,4.7,3,55569,14363,37.7,23.2,21961,64.5,47.5,4.5,7.5
Corpus Christi,TX,Metro,310M400US18580,354356,6,85.9,7.8,1.1,1.2,0.9,3.1,20.5,6.6,5.7,9.9,9.2,14.7,16.9,13.7,13.6,5.1,4.6,54264,20377,30.9,18.4,24002,56.3,35.8,17.9,14.2
Corvallis,OR,Metro,310M400US18700,79378,6,67.3,6.4,2.8,9.8,8.5,5.2,18.8,8.6,4.9,9.5,8.4,8.8,16.6,11.4,17.2,8.3,6.4,63773,19348,30.5,21.1,36969,77.9,32.5,4.2,6.3
